config,n_free,N,num_points,L,run,seed,train_data_seed,test_data_seed,test_rel_error,test_abs_error,test_loss,train_loss,epochs_run,stopping_reason,train_time
mu,1,16,1000,2,4,104,204,304,0.002153603717684746,0.003828910380601883,2.1542490692809225e-05,8.56431370775681e-05,2000,max_epochs,10.476478581986157
mu,1,16,1000,2,5,105,205,305,0.009432273149490357,0.01876631247997284,0.00038797542825341226,0.00046035652817226947,2000,max_epochs,10.534077988006175
mu,1,16,1000,2,6,106,206,306,0.02232843828201294,0.04391874599456787,0.0020575456470251084,0.0015443880576640368,2000,max_epochs,10.577376561996061
mu,1,16,1000,3,0,100,200,300,0.00212769016623497,0.003791444480419159,2.4671999271959065e-05,2.3934470591484568e-05,2000,max_epochs,10.51986475198646
mu,1,16,1000,3,1,101,201,301,0.0036850567162036896,0.007116267323493957,6.236788025125861e-05,3.458044386934489e-05,2000,max_epochs,10.572930551017635
mu,1,16,1000,3,2,102,202,302,0.0025444744825363157,0.004648578882217407,2.9871354112401605e-05,4.5955979119753465e-05,2000,max_epochs,10.549441826005932
mu,1,16,1000,3,3,103,203,303,0.005228128373622894,0.010296334147453307,0.00012468955758959056,5.5992792651522905e-05,2000,max_epochs,10.494787902978715
mu,1,16,1000,3,4,104,204,304,0.004481471806764603,0.008851837754249572,9.48673551902175e-05,5.0952957128174605e-05,2000,max_epochs,10.51198818499688
mu,1,16,1000,3,5,105,205,305,0.005312954425811768,0.010411325216293335,0.00012616728898137808,7.13307560654357e-05,2000,max_epochs,10.485166516009485
mu,1,16,1000,3,6,106,206,306,0.001821794018149376,0.0030558555126190185,1.591236295644194e-05,1.7257196552236564e-05,2000,max_epochs,10.484424314025091
mu,1,16,1000,4,0,100,200,300,0.0011857844963669777,0.00230189123749733,8.941222447901965e-06,7.707858614594443e-06,2000,max_epochs,10.491938488994492
mu,1,16,1000,4,1,101,201,301,0.007206261754035949,0.014549007773399352,0.00024314024113118648,6.693824293324724e-05,2000,max_epochs,10.500519950990565
mu,1,16,1000,4,2,102,202,302,0.006052211344242096,0.012013862252235413,0.00016917342878878118,0.00011035437183454633,2000,max_epochs,10.493769816996064
mu,1,16,1000,4,3,103,203,303,0.01150934374332428,0.02305467367172241,0.0005896515585482121,0.0005886290804482996,2000,max_epochs,10.494458664994454
mu,1,16,1000,4,4,104,204,304,0.01757835340499878,0.035608100891113284,0.001411595955491066,0.0009044021284207701,2000,max_epochs,10.550679270003457
mu,1,16,1000,4,5,105,205,305,0.0024042309820652007,0.004708208173513412,3.3877283334732054e-05,6.76794023020193e-05,2000,max_epochs,10.639959879015805
mu,1,16,1000,4,6,106,206,306,0.001877881571650505,0.003188650608062744,1.6190887428820132e-05,1.826302563131321e-05,2000,max_epochs,10.317999670020072
mu,1,16,1000,8,0,100,200,300,0.007074469208717346,0.014222459554672242,0.00023612633906304836,0.00013860206259414554,2000,max_epochs,10.242142675007926
mu,1,16,1000,8,1,101,201,301,0.008981614589691163,0.017937308311462404,0.0003611434027552605,0.0010878150705248117,2000,max_epochs,10.244465777010191
mu,1,16,1000,8,2,102,202,302,0.0035850327610969543,0.006937016606330872,6.049562571570277e-05,6.631351649411954e-05,2000,max_epochs,10.462118216993986
mu,1,16,1000,8,3,103,203,303,0.0018728943616151809,0.00342114993929863,1.6977456863969565e-05,0.00013418598484713585,2000,max_epochs,10.486906801990699
mu,1,16,1000,8,4,104,204,304,0.0018727615177631378,0.0031842138469219206,1.6789040877483786e-05,1.6840697193401865e-05,2000,max_epochs,10.502850761986338
mu,1,16,1000,8,5,105,205,305,0.0018529374599456788,0.003126389056444168,1.6278912546113133e-05,1.6241254794294945e-05,2000,max_epochs,10.512677866994636
mu,1,16,1000,8,6,106,206,306,0.004708732724189759,0.008343667328357696,8.29000249505043e-05,0.00023761573049705477,2000,max_epochs,10.508181384007912
mu,1,32,5,1,0,100,200,300,0.0021033207327127456,0.003797558635473251,2.2320724092423916e-05,9.996350627261563e-07,1414,stopping_threshold,1.8473751260025892
mu,1,32,5,1,1,101,201,301,0.002383622348308563,0.003980933278799057,2.5706818560138346e-05,9.494996788816934e-07,119,stopping_threshold,0.1563127639819868
mu,1,32,5,1,2,102,202,302,0.00369409105181694,0.004936508893966675,7.567135104909539e-05,9.998210543926689e-07,506,stopping_threshold,0.6607938280212693
mu,1,32,5,1,3,103,203,303,0.0032675654590129852,0.00566555792093277,5.2278929855674504e-05,3.868541625706712e-06,2000,max_epochs,2.6158205699757673
mu,1,32,5,1,4,104,204,304,0.007063209056854248,0.00928107225894928,0.00023674637824296952,9.979451078834245e-07,197,stopping_threshold,0.25747824501013383
mu,1,32,5,1,5,105,205,305,0.0016742995232343675,0.002804467350244522,1.3893093564547598e-05,9.950132380254217e-07,169,stopping_threshold,0.2205668670067098
mu,1,32,5,1,6,106,206,306,0.01682382655143738,0.02087885308265686,0.0015353492796421051,8.448638254776597e-06,2000,max_epochs,2.610685100982664
mu,1,32,5,2,0,100,200,300,0.0023224310874938965,0.004397995889186859,3.0119662871584297e-05,9.997896768254577e-07,1371,stopping_threshold,1.7734217749966774
mu,1,32,5,2,1,101,201,301,0.001804253488779068,0.0030750938653945925,1.5970544423907995e-05,9.914629117702134e-07,348,stopping_threshold,0.4501679980021436
mu,1,32,5,2,2,102,202,302,0.002425342410802841,0.0040146994590759275,2.5079796090722083e-05,9.879789786282345e-07,212,stopping_threshold,0.27480585500597954
mu,1,32,5,2,3,103,203,303,0.0030582640469074248,0.004634805202484131,4.8238052520900966e-05,1.258815245819278e-06,2000,max_epochs,2.585825144982664
mu,1,32,5,2,4,104,204,304,0.00581817752122879,0.007786238491535187,0.0001561578232795,9.970723340302357e-07,232,stopping_threshold,0.30052065302152187
mu,1,32,5,2,5,105,205,305,0.0014842919260263444,0.00251254478096962,1.0276895482093096e-05,9.943004215529072e-07,154,stopping_threshold,0.19999161298619583
mu,1,32,5,2,6,106,206,306,0.022686240911483763,0.028431482076644896,0.0026400489807128905,3.970859779656166e-06,2000,max_epochs,2.519399110984523
mu,1,32,5,3,0,100,200,300,0.0022436976283788683,0.004218386739492416,2.6905414881184696e-05,1.4432777106776484e-06,2000,max_epochs,2.5158903599949554
mu,1,32,5,3,1,101,201,301,0.0018219922184944152,0.003120031952857971,1.6009106184355913e-05,9.943094028130872e-07,316,stopping_threshold,0.39779463698505424
mu,1,32,5,3,2,102,202,302,0.0018367841839790344,0.003097912311553955,1.549684617202729e-05,9.978707566915546e-07,767,stopping_threshold,0.9608019290026277
mu,1,32,5,3,3,103,203,303,0.0034772390723228457,0.005385734498500824,6.0499326325953006e-05,9.999715757658123e-07,1981,stopping_threshold,2.4808895110036246
mu,1,32,5,3,4,104,204,304,0.005394393920898437,0.007176849365234375,0.00013796601351350545,9.994186029871344e-07,648,stopping_threshold,0.8126806780055631
mu,1,32,5,3,5,105,205,305,0.003472495496273041,0.004744305849075318,7.543896231800318e-05,9.986287068386446e-07,263,stopping_threshold,0.3317192980030086
mu,1,32,5,3,6,106,206,306,0.03597516870498657,0.048803566455841066,0.0058682609796524045,0.0001611861662240699,2000,max_epochs,2.5069020749942865
mu,1,32,5,4,0,100,200,300,0.0019392760246992112,0.0032847015857696534,1.7502644448541104e-05,9.984388498196495e-07,1522,stopping_threshold,1.9041364669974428
mu,1,32,5,4,1,101,201,301,0.0016288125962018968,0.0028012661635875703,1.3031822396442293e-05,9.645475529396208e-07,126,stopping_threshold,0.15760829197824933
mu,1,32,5,4,2,102,202,302,0.0038269971311092376,0.005130926549434662,7.722252001985907e-05,9.999989742937032e-07,1235,stopping_threshold,1.5510764030041173
mu,1,32,5,4,3,103,203,303,0.00433942574262619,0.007211515486240387,8.857486117631197e-05,2.1848805772606283e-05,2000,max_epochs,2.5855694150086492
mu,1,32,5,4,4,104,204,304,0.008822889268398285,0.011102863430976868,0.00043682236969470975,9.996410881285556e-07,1362,stopping_threshold,1.793106377008371
mu,1,32,5,4,5,105,205,305,0.002361809104681015,0.0034485615789890288,3.3186786342412236e-05,9.984416919905925e-07,329,stopping_threshold,0.4259320199780632
mu,1,32,5,4,6,106,206,306,0.02477103805541992,0.03248923802375794,0.002913156628608704,8.080040424829349e-05,2000,max_epochs,2.5874781380116474
mu,1,32,5,8,0,100,200,300,0.0020748988837003706,0.003574414223432541,2.0034969202242793e-05,3.2769444260338787e-06,2000,max_epochs,2.581642520002788
mu,1,32,5,8,1,101,201,301,0.002357781082391739,0.0038731323778629302,2.486708667129278e-05,9.973009582608938e-07,357,stopping_threshold,0.46222609700635076
mu,1,32,5,8,2,102,202,302,0.0022106805741786955,0.0034309246838092806,2.4146581534296276e-05,9.99459189188201e-07,900,stopping_threshold,1.163586861017393
mu,1,32,5,8,3,103,203,303,0.003593830734491348,0.005114644706249237,7.32815507799387e-05,3.890492735081352e-06,2000,max_epochs,2.5905874650052283
mu,1,32,5,8,4,104,204,304,0.007157704710960388,0.00911642473936081,0.000279230872169137,9.997504548664438e-07,1929,stopping_threshold,2.4978323969990015
mu,1,32,5,8,5,105,205,305,0.0024318739771842955,0.0037789712250232694,2.8982600662857294e-05,9.998326504501165e-07,301,stopping_threshold,0.3912122559850104
